JOAN,-0.9490,0.157,0.306,0.008
ASHLEY,-0.9117,0.159,0.303,0.014
CARMEN,-0.8932,0.103,0.195,0.011
STACEY,-0.8036,0.056,0.101,0.011
JEAN,-0.8000,0.175,0.315,0.035
STACY,-0.7536,0.069,0.121,0.017
BOBBIE,-0.7333,0.037,0.065,0.010
ROBIN,-0.7333,0.120,0.208,0.032
KIM,-0.7282,0.103,0.178,0.028
COURTNEY,-0.6381,0.052,0.086,0.019
KELLY,-0.6358,0.173,0.283,0.063
SHANNON,-0.6279,0.107,0.175,0.040
TRACY,-0.6082,0.122,0.197,0.048
BILLIE,-0.6047,0.043,0.069,0.017
LAVERNE,-0.5789,0.019,0.030,0.008
LYNN,-0.5607,0.087,0.135,0.038
DANA,-0.4878,0.082,0.122,0.042
ALEXIS,-0.4634,0.020,0.030,0.011
OLLIE,-0.4595,0.018,0.027,0.010
JAN,-0.4571,0.035,0.051,0.019
MARION,-0.4353,0.085,0.122,0.048
CLEO,-0.4000,0.015,0.021,0.009
JAMIE,-0.3973,0.110,0.153,0.066
SHELBY,-0.3889,0.018,0.025,0.011
GUADALUPE,-0.3882,0.042,0.059,0.026
JACKIE,-0.3534,0.067,0.090,0.043
DOMINIQUE,-0.3333,0.012,0.016,0.008
GALE,-0.3333,0.012,0.016,0.008
LESLIE,-0.3106,0.117,0.154,0.081
PAT,-0.2903,0.031,0.040,0.022
JODY,-0.2258,0.031,0.038,0.024
JESSIE,-0.2025,0.082,0.098,0.065
MORGAN,-0.1000,0.020,0.022,0.018
ROBBIE,-0.0303,0.017,0.017,0.016
KRIS,0.0000,0.011,0.011,0.011
FRANKIE,0.0222,0.022,0.022,0.023
KERRY,0.0746,0.034,0.031,0.036
JOHNNIE,0.1429,0.045,0.039,0.052
CAREY,0.1818,0.011,0.009,0.013
TOMMIE,0.2121,0.017,0.013,0.020
CASEY,0.3012,0.042,0.029,0.054
MERLE,0.3125,0.016,0.011,0.021
TAYLOR,0.3333,0.018,0.012,0.024
JAIME,0.3415,0.041,0.027,0.055
ANGEL,0.4017,0.059,0.035,0.082
RENE,0.5000,0.032,0.016,0.048
WILLIE,0.5138,0.200,0.097,0.302
LEE,0.5211,0.106,0.051,0.162
JIMMIE,0.5467,0.038,0.017,0.058
TERRY,0.5908,0.196,0.080,0.311
FRANCIS,0.6080,0.100,0.039,0.160
JORDAN,0.6471,0.034,0.012,0.056
CHRISTIAN,0.7333,0.037,0.010,0.065
ADRIAN,0.7692,0.039,0.009,0.069
CHRIS,0.7828,0.111,0.024,0.197
SHAWN,0.7857,0.112,0.024,0.200
DALE,0.8400,0.100,0.016,0.184
EDDIE,0.8581,0.077,0.011,0.144
JESSE,0.9263,0.108,0.008,0.209
BOBBY,0.9307,0.116,0.008,0.223
